CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,lon_x1,lat_y1,lon_x2,lat_y2
UkrSCES Institution,Beach in the Karolino-Bugaz (1),UA,Black Sea,108,Rural,Sandy,20200309,Monitoring,30.53431,46.13759,30.5333,46.13691
Surfrider Foundation Europe,"Parc nautique d?partemental de l'?le de Monsieur, 4 Rue de Saint-Cloud, 92310 S?vres, France",,Unknown,3000,,,20191004,Cleanup,2.2243965,48.8310037,2.2243965,48.83100371
Surfrider Foundation Europe,"Parc nautique d?partemental de l'?le de Monsieur, 4 Rue de Saint-Cloud, 92310 S?vres, France",,Unknown,3000,,,20190703,Cleanup,2.2243965,48.8310037,2.2243965,48.83100371
Surfrider Foundation Europe,"Parc nautique d?partemental de l'?le de Monsieur, 4 Rue de Saint-Cloud, 92310 S?vres, France",,Unknown,3000,,,20191001,Cleanup,2.2243965,48.8310037,2.2243965,48.83100371
Perseus,Gradina,BG,Black Sea,124,Urban,Sandy,20200601,Cleanup,27.66981916,42.40895472,27.66837124,42.40924141
Perseus,Gradina,BG,Black Sea,124,Urban,Sandy,20150119,Cleanup,27.66981916,42.40895472,27.66837124,42.40924141
Perseus,Gradina,BG,Black Sea,124,Urban,Sandy,20190402,Cleanup,27.66981916,42.40895472,27.66837124,42.40924141
Plastic Change,Roskilde Vig Nord,DK,North-east Atlantic Ocean,100,Rural,Sandy,20170426,Monitoring,12.056157,55.660566,12.055791,55.66144379
Plastic Change,Roskilde Vig Nord,DK,North-east Atlantic Ocean,100,Rural,Sandy,20180404,Monitoring,12.056157,55.660566,12.055791,55.66144379
Archipelagos Institute of Marine Conservation,Mikali (base),GR,Mediterranean Sea,389,Rural,Pebbels,20150317,Cleanup,26.97441878,37.70125405,26.97036328,37.69999771
Monitoraggio Strategia Marina  Ministero dell_mbiente,Corigliano Foce Crati,IT,Mediterranean Sea,99,,,20170208,Monitoring,16.52072,39.72847,16.52172,39.72847
Monitoraggio Strategia Marina  Ministero dell_mbiente,Corigliano Foce Crati,IT,Mediterranean Sea,99,,,20181108,Monitoring,16.52072,39.72847,16.52172,39.72847
Monitoraggio Strategia Marina  Ministero dell_mbiente,Corigliano Foce Crati,IT,Mediterranean Sea,99,,,20171031,Monitoring,16.52072,39.72847,16.52172,39.72847
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20180309,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20170613,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20170919,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20180205,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20170404,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
gBqsPxAZ,Pollock Beach,,Unknown,209,Urban,Sandy,20190214,Cleanup,25.66824377,-33.98258396,25.66923316,-33.98321952
gBqsPxAZ,Pollock Beach,,Unknown,209,Urban,Sandy,20180913,Cleanup,25.66824377,-33.98258396,25.66923316,-33.98321952
Surfrider Foundation Europe,"Rue Des Combattants - Immeuble Imp?rial, 30240 Le Grau-du-Roi, France",FR,Mediterranean Sea,350,,,20190924,Cleanup,4.137078,43.536605,4.137078,43.53660501
Legambiente Onlus,"Lido Venere, Agropoli (SA)",IT,Mediterranean Sea,100,,,20170429,Monitoring,15.00143,40.37683,15.00243,40.37683
Surfrider Foundation Europe,"Unnamed Road, 33260 La Teste-de-Buch, France",,North-east Atlantic Ocean,3000,,,20190525,Cleanup,-1.1181022,44.6091747,-1.1181022,44.60917471
Surfrider Foundation Europe,"8 Trezmalaouen, 29100 Kerlaz, France",FR,North-east Atlantic Ocean,74,,,20150704,Cleanup,-4.28522,48.1055,-4.28422,48.1055
Surfers Against Sewage,Netley cricket field shoreline,UK,North-east Atlantic Ocean,15,,,20150510,Cleanup,-1.35830235,50.87570049,-1.358437098,50.87580145
Legambiente Onlus,Oasi Dunale Capaccio Paestum (SA),IT,Unknown,100,,,20180425,Monitoring,0.000134612,0.000363113,0.000134621,0.000363113
gBqsPxAZ,Playa de las Amoladeras,ES,Mediterranean Sea,864,Rural,Sandy,20180221,Cleanup,-0.709776,37.641286,-0.703418,37.635364
Monitoraggio Strategia Marina  Ministero dell_mbiente,Corigliano Foce Crati,IT,Mediterranean Sea,99,,,20180424,Monitoring,16.52072,39.72847,16.52172,39.72847
Legambiente Onlus,"Spiaggia Terzo Cavone, Scanzano Jonico (MT)",IT,Mediterranean Sea,100,,,20170425,Monitoring,16.77668,40.28742,16.77768,40.28742
Blue Flag Turkey,Banyolar  Public Beach,TR,Mediterranean Sea,174,Urban,Other (mixed),20210605,Monitoring,27.262953,37.866147,27.263075,37.86771
Surfrider Foundation Europe,"Passeio Mar?timo de Alg?s, 1495 Alg?s, Portugal",PT,North-east Atlantic Ocean,150,,,20190413,Cleanup,-9.2315672,38.6967674,-9.2315672,38.69676741
